Component#1,Component#2,Smiles#1,Smiles#2,X#1 (molar fraction),"Tmelt, K"
tetramethylazanium;chloride,octadecanoic acid,C[N+](C)(C)C.[Cl-],CCCCCCCCCCCCCCCCCC(=O)O,0.899,574.55
tetramethylazanium;chloride,tetradecanoic acid,C[N+](C)(C)C.[Cl-],CCCCCCCCCCCCCC(=O)O,0.903,573.65
tetramethylazanium;chloride,dodecanoic acid,C[N+](C)(C)C.[Cl-],CCCCCCCCCCCC(=O)O,0.9,573.45
tetramethylazanium;chloride,decanoic acid,C[N+](C)(C)C.[Cl-],CCCCCCCCCC(=O)O,0.9,573.35
tetramethylazanium;chloride,hexadecanoic acid,C[N+](C)(C)C.[Cl-],CCCCCCCCCCCCCCCC(=O)O,0.897,573.25
2-hydroxyethyl(trimethyl)azanium;chloride,pentanedioic acid,C[N+](C)(C)CCO.[Cl-],O=C(O)CCCC(=O)O,0.949,571.62
2-hydroxyethyl(trimethyl)azanium;chloride,2-hydroxybutanedioic acid,C[N+](C)(C)CCO.[Cl-],O=C(O)CC(O)C(=O)O,0.95,570.35
2-hydroxyethyl(trimethyl)azanium;chloride,"ethane-1,2-diol",C[N+](C)(C)CCO.[Cl-],OCCO,0.949,568.722
2-hydroxyethyl(trimethyl)azanium;chloride,2-hydroxypropanoic acid,C[N+](C)(C)CCO.[Cl-],CC(O)C(=O)O,0.95,565.55
2-hydroxyethyl(trimethyl)azanium;chloride,2-hydroxyacetic acid,C[N+](C)(C)CCO.[Cl-],O=C(O)CO,0.946,563.15
2-hydroxyethyl(trimethyl)azanium;chloride,tetradecanoic acid,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCC(=O)O,0.946,562.6
2-hydroxyethyl(trimethyl)azanium;chloride,"2,3-dihydroxybutanedioic acid",C[N+](C)(C)CCO.[Cl-],O=C(O)C(O)C(O)C(=O)O,0.947,557.95
2-hydroxyethyl(trimethyl)azanium;chloride,"2-hydroxypropane-1,2,3-tricarboxylic acid",C[N+](C)(C)CCO.[Cl-],O=C(O)CC(O)(CC(=O)O)C(=O)O,0.948,557.85
tetramethylazanium;chloride,hexadecan-1-ol,C[N+](C)(C)C.[Cl-],CCCCCCCCCCCCCCCCO,0.9,557.5
2-hydroxyethyl(trimethyl)azanium;chloride,2-acetyloxybenzoic acid,C[N+](C)(C)CCO.[Cl-],CC(=O)Oc1ccccc1C(=O)O,0.893,555.58
2-hydroxyethyl(trimethyl)azanium;chloride,2-hydroxybenzoic acid,C[N+](C)(C)CCO.[Cl-],O=C(O)c1ccccc1O,0.896,550.7
2-(trimethylazaniumyl)acetate,"(1R,4R)-1,7,7-trimethylbicyclo[2.2.1]heptan-2-one",C[N+](C)(C)CC(=O)[O-],CC1(C)[C@@H]2CC[C@@]1(C)C(=O)C2,0.898,549.5
2-hydroxyethyl(trimethyl)azanium;chloride,"propane-1,2,3-triol",C[N+](C)(C)CCO.[Cl-],OCC(O)CO,0.956,549.054
2-hydroxyethyl(trimethyl)azanium;chloride,dodecanoic acid,C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCC(=O)O,0.953,548.53
2-(trimethylazaniumyl)acetate,5-methyl-2-propan-2-ylphenol,C[N+](C)(C)CC(=O)[O-],Cc1ccc(C(C)C)c(O)c1,0.896,547.9
